element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cd,2,"=""342.2228""","=""342.2231+""","=""5""","=""6.0e+05""",D+,"=""89843.78""","=""119056.11""","=""4d10.5d""","=""2D""","=""5/2""","=""4d9.5s.(3D).5p""","=""2P*""","=""3/2""",6,4,,"=""T3096""","=""L3540""",
Cd,1,"=""346.61996""","=""346.61996""","=""1000""","=""1.2e+08""",D,"=""30656.087""","=""59497.868""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.5d""","=""3D""","=""2""",3,5,,"=""T4515""","=""L3486""",
Cd,1,"=""346.76547""","=""346.76544""","=""800""","=""6.7e+07""",D,"=""30656.087""","=""59485.768""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.5d""","=""3D""","=""1""",3,3,,"=""T4515""","=""L3486""",
Cd,2,"=""349.5436""","=""349.5432+""","=""150""","=""4.85e+07""",C+,"=""89843.78""","=""118444.36""","=""4d10.5d""","=""2D""","=""5/2""","=""4d10.5f""","=""2F*""","=""7/2""",6,8,,"=""T3096""","=""L3540""",
Cd,2,"=""353.56907""","=""353.5669+""","=""100""","=""7.9e+05""",C,"=""46618.55""","=""74893.66""","=""4d10.5p""","=""2P*""","=""3/2""","=""4d9.5s2""","=""2D""","=""3/2""",4,4,,"=""T3315n,T4536""","=""L3486,L3540""",
Cd,1,"=""361.05077""","=""361.0508""","=""1000""","=""1.3e+08""",D,"=""31826.952""","=""59515.990""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""3D""","=""3""",5,7,,"=""T4515""","=""L3486""",
Cd,1,"=""361.28729""","=""361.28724""","=""800""","=""3.5e+07""",D,"=""31826.952""","=""59497.868""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""3D""","=""2""",5,5,,"=""T4515""","=""L3486""",
Cd,2,"=""366.6756""","=""366.6736+""","=""20""","=""2.7e+05""",C,"=""89689.25""","=""116953.70""","=""4d10.5d""","=""2D""","=""3/2""","=""4d9.5s.(3D).5p""","=""2F*""","=""5/2""",4,6,,"=""T3096""","=""L3540""",
Cd,2,"=""382.6710""","=""382.6706+""","=""15""","=""5.e+04""",D,"=""69258.91""","=""95383.63""","=""4d9.5s2""","=""2D""","=""5/2""","=""4d10.6p""","=""2P*""","=""3/2""",6,4,,"=""T3096""","=""L3540""",
Cd,2,"=""395.7244""","=""395.7230+""","=""15""","=""3.0e+05""",C,"=""89689.25""","=""114952.30""","=""4d10.5d""","=""2D""","=""3/2""","=""4d9.5s.(3D).5p""","=""4D*""","=""5/2""",4,6,,"=""T3096""","=""L3540""",
Cd,1,"=""414.02988""","=""414.03021""","=""""","=""4.7e+06""",D,"=""43692.384""","=""67838.401""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.7d""","=""1D""","=""2""",3,5,,"=""T4515""","=""L3486c92""",
Cd,2,"=""438.452""","=""438.451+""","=""5""","=""1.3e+05""",D+,"=""89689.25""","=""112490.39""","=""4d10.5d""","=""2D""","=""3/2""","=""4d10.7p""","=""2P*""","=""3/2""",4,4,,"=""T3096""","=""L3540""",
Cd,2,"=""""","=""441.443+""","=""""","=""1.1e+06""",D+,"=""89843.78""","=""112490.39""","=""4d10.5d""","=""2D""","=""5/2""","=""4d10.7p""","=""2P*""","=""3/2""",6,4,,"=""T3096""","=""""",
Cd,2,"=""441.56859""","=""441.565+""","=""1000""","=""1.277e+06""",A+,"=""46618.55""","=""69258.91""","=""4d10.5p""","=""2P*""","=""3/2""","=""4d9.5s2""","=""2D""","=""5/2""",4,6,,"=""T755""","=""L3486,L3540""",
Cd,1,"=""466.23520""","=""466.23520""","=""8""","=""5.5e+06""",C,"=""43692.384""","=""65134.783""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.6d""","=""1D""","=""2""",3,5,,"=""T4515""","=""L3486""",
Cd,1,"=""467.81493""","=""467.81500""","=""200""","=""1.3e+07""",C,"=""30113.990""","=""51483.980""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.6s""","=""3S""","=""1""",1,3,,"=""T4515""","=""L3486""",
Cd,1,"=""479.99123""","=""479.99121""","=""300""","=""4.1e+07""",C,"=""30656.087""","=""51483.980""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.6s""","=""3S""","=""1""",3,3,,"=""T4515""","=""L3486""",
Cd,2,"=""488.1725""","=""488.172+""","=""50""","=""1.13e+07""",C,"=""89689.25""","=""110168.11""","=""4d10.5d""","=""2D""","=""3/2""","=""4d9.5s.(3D).5p""","=""4F*""","=""5/2""",4,6,,"=""T3096""","=""L3540""",
Cd,2,"=""491.885""","=""491.884+""","=""20""","=""9.e+05""",D+,"=""89843.78""","=""110168.11""","=""4d10.5d""","=""2D""","=""5/2""","=""4d9.5s.(3D).5p""","=""4F*""","=""5/2""",6,6,,"=""T3096""","=""L3540""",
Cd,2,"=""502.550""","=""502.548+""","=""50""","=""2.39e+07""",C+,"=""89843.78""","=""109736.82""","=""4d10.5d""","=""2D""","=""5/2""","=""4d9.5s.(3D).5p""","=""4F*""","=""7/2""",6,8,,"=""T3096""","=""L3540""",
Cd,1,"=""508.58217""","=""508.58214""","=""1000w""","=""5.6e+07""",C,"=""31826.952""","=""51483.980""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.6s""","=""3S""","=""1""",5,3,,"=""T4515""","=""L3486""",
Cd,2,"=""""","=""527.78+""","=""""","=""5.1e+06""",C+,"=""110247.60""","=""129189.5""","=""4d10.6d""","=""2D""","=""5/2""","=""4d9.5s.(1D).5p""","=""2F*""","=""7/2""",6,8,,"=""T3096""","=""""",
Cd,2,"=""533.74855""","=""533.748+""","=""1000""","=""1.72e+08""",B+,"=""89689.25""","=""108419.47""","=""4d10.5d""","=""2D""","=""3/2""","=""4d10.4f""","=""2F*""","=""5/2""",4,6,,"=""T7716""","=""L3486,L3540""",
Cd,2,"=""537.81351""","=""537.813+""","=""1000""","=""1.82e+08""",B+,"=""89843.78""","=""108432.43""","=""4d10.5d""","=""2D""","=""5/2""","=""4d10.4f""","=""2F*""","=""7/2""",6,8,,"=""T7716""","=""L3486,L3540""",
Cd,2,"=""538.1887""","=""538.188+""","=""200""","=""1.21e+07""",B+,"=""89843.78""","=""108419.47""","=""4d10.5d""","=""2D""","=""5/2""","=""4d10.4f""","=""2F*""","=""5/2""",6,6,,"=""T7716""","=""L3540""",
Cd,1,"=""643.84695""","=""643.84695""","=""2000""","=""5.9e+07""",C,"=""43692.384""","=""59219.734""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.5d""","=""1D""","=""2""",3,5,,"=""T4515""","=""L3486""",
Cd,2,"=""""","=""745.490+""","=""""","=""6.0e+05""",D+,"=""107300.88""","=""120711.18""","=""4d10.7s""","=""2S""","=""1/2""","=""4d10.8p""","=""2P*""","=""3/2""",2,4,,"=""T3096""","=""L3540""",
Cd,2,"=""""","=""750.680+""","=""""","=""6.5e+05""",D+,"=""107300.88""","=""120618.46""","=""4d10.7s""","=""2S""","=""1/2""","=""4d10.8p""","=""2P*""","=""1/2""",2,2,,"=""T3096""","=""""",
Cd,2,"=""806.69037""","=""806.687+""","=""50""","=""5.0e+07""",C,"=""82990.66""","=""95383.63""","=""4d10.6s""","=""2S""","=""1/2""","=""4d10.6p""","=""2P*""","=""3/2""",2,4,,"=""T3096""","=""L3486,L3540""",
Cd,2,"=""""","=""833.583+""","=""""","=""1.45e+06""",C,"=""107300.88""","=""119293.99""","=""4d10.7s""","=""2S""","=""1/2""","=""4d9.5s.(3D).5p""","=""2P*""","=""1/2""",2,2,,"=""T3096""","=""""",
Cd,2,"=""""","=""850.452+""","=""""","=""1.70e+06""",C,"=""107300.88""","=""119056.11""","=""4d10.7s""","=""2S""","=""1/2""","=""4d9.5s.(3D).5p""","=""2P*""","=""3/2""",2,4,,"=""T3096""","=""""",
Cd,2,"=""""","=""853.026+""","=""""","=""3.64e+07""",B,"=""82990.66""","=""94710.41""","=""4d10.6s""","=""2S""","=""1/2""","=""4d10.6p""","=""2P*""","=""1/2""",2,2,,"=""T6585""","=""""",
Cd,2,"=""""","=""965.874+""","=""""","=""6.87e+07""",B+,"=""108419.47""","=""118769.95""","=""4d10.4f""","=""2F*""","=""5/2""","=""4d10.5g""","=""2G""","=""7/2""",6,8,,"=""T7716""","=""""",
Cd,2,"=""""","=""967.085+""","=""""","=""2.54e+06""",B+,"=""108432.43""","=""118769.95""","=""4d10.4f""","=""2F*""","=""7/2""","=""4d10.5g""","=""2G""","=""7/2""",8,8,,"=""T7716""","=""""",
Cd,2,"=""""","=""967.085+""","=""""","=""7.10e+07""",B+,"=""108432.43""","=""118769.95""","=""4d10.4f""","=""2F*""","=""7/2""","=""4d10.5g""","=""2G""","=""9/2""",8,10,,"=""T7716""","=""""",
